variable,lag,pearson
lambda_max,-90,-0.17094061440619504
lambda_max,-89,-0.1705002210144929
lambda_max,-88,-0.17050240391073174
lambda_max,-87,-0.170939096289005
lambda_max,-86,-0.1717623308097961
lambda_max,-85,-0.1731250382064154
lambda_max,-84,-0.17485909777427738
lambda_max,-83,-0.17688673190858956
lambda_max,-82,-0.17917979168137127
lambda_max,-81,-0.18145100436125114
lambda_max,-80,-0.1837931135888519
lambda_max,-79,-0.18599587308592466
lambda_max,-78,-0.18799982699412235
lambda_max,-77,-0.1895865009615605
lambda_max,-76,-0.19064999770525148
lambda_max,-75,-0.19119767399791449
lambda_max,-74,-0.19127603769359466
lambda_max,-73,-0.19096073936875207
lambda_max,-72,-0.1904329367870627
lambda_max,-71,-0.18989332603034653
lambda_max,-70,-0.18946266901415054
lambda_max,-69,-0.18920036446594862
lambda_max,-68,-0.18894364428824206
lambda_max,-67,-0.18890792380424912
lambda_max,-66,-0.18905611367977104
lambda_max,-65,-0.1892308780109388
lambda_max,-64,-0.18944327271999703
lambda_max,-63,-0.18978434779716488
lambda_max,-62,-0.1901943885747507
lambda_max,-61,-0.19080870226729715
lambda_max,-60,-0.1916971867963909
lambda_max,-59,-0.19260246239662143
lambda_max,-58,-0.19339995017504977
lambda_max,-57,-0.1940473999750348
lambda_max,-56,-0.19451685679145114
lambda_max,-55,-0.19452906810284912
lambda_max,-54,-0.19398348832257772
lambda_max,-53,-0.19305595697517122
lambda_max,-52,-0.19176691938570622
lambda_max,-51,-0.19004706529520338
lambda_max,-50,-0.18786147812639756
lambda_max,-49,-0.18507186673357867
lambda_max,-48,-0.18187466622838083
lambda_max,-47,-0.1782713943736645
lambda_max,-46,-0.1744210557838697
lambda_max,-45,-0.17046630496237836
lambda_max,-44,-0.16666055624428588
lambda_max,-43,-0.16293276545539956
lambda_max,-42,-0.1593558016209008
lambda_max,-41,-0.15599076965287867
lambda_max,-40,-0.15312658882710978
lambda_max,-39,-0.15090564469706735
lambda_max,-38,-0.14936317388179177
lambda_max,-37,-0.14851959978736887
lambda_max,-36,-0.1485188936631775
lambda_max,-35,-0.14964560637466662
lambda_max,-34,-0.1518536411374148
lambda_max,-33,-0.15489980435860132
lambda_max,-32,-0.1587417402876018
lambda_max,-31,-0.16327605408456786
lambda_max,-30,-0.16825247946039334
lambda_max,-29,-0.17349942808904986
