fecha,hora,clase,latitud_longitud,region_activa,cme_asociada,id,ftrt,ssn,ftrt_join,lag_days,join_method
2026-06-20,01:26,M1.3,S12E70,14472,1,2026-06-20T01:26:00-FLR-001,1.513223,88.0,1.513223,0,exact
2026-06-20,14:50,M1.0,S10E80,14473,0,2026-06-20T14:50:00-FLR-001,1.513223,88.0,1.513223,0,exact
2026-06-21,02:25,M2.6,S08E67,14473,1,2026-06-21T02:25:00-FLR-001,1.730706,65.0,1.730706,0,exact
2026-06-21,19:17,M6.8,S09E57,14473,1,2026-06-21T19:17:00-FLR-001,1.730706,65.0,1.730706,0,exact
2026-06-29,21:13,M1.4,N16W04,14479,1,2026-06-29T21:13:00-FLR-001,7.494735,125.0,7.494735,0,exact
2026-06-30,00:39,M1.3,S07W48,14475,0,2026-06-30T00:39:00-FLR-001,7.742445,126.0,7.742445,0,exact
2026-06-30,12:37,M5.8,S08W56,14475,0,2026-06-30T12:37:00-FLR-001,7.742445,126.0,7.742445,0,exact
2026-06-30,20:34,X1.1,N17W18,14479,1,2026-06-30T20:34:00-FLR-001,7.742445,126.0,7.742445,0,exact
2026-07-01,06:19,M1.1,N19W23,14479,0,2026-07-01T06:19:00-FLR-001,,,7.742445,-1,±1
2026-07-01,06:37,M1.0,N20W23,14479,0,2026-07-01T06:37:00-FLR-001,,,7.742445,-1,±1
2026-07-01,07:28,M1.5,N20W24,14479,0,2026-07-01T07:28:00-FLR-001,,,7.742445,-1,±1
2026-07-01,08:07,M2.5,N20W24,14479,0,2026-07-01T08:07:00-FLR-001,,,7.742445,-1,±1
2026-07-01,10:04,M1.3,N19W26,14479,0,2026-07-01T10:04:00-FLR-001,,,7.742445,-1,±1
2026-07-01,10:54,M1.0,N13W33,14479,1,2026-07-01T10:54:00-FLR-001,,,7.742445,-1,±1
2026-07-01,11:53,M1.1,N19W27,14479,0,2026-07-01T11:53:00-FLR-001,,,7.742445,-1,±1
2026-07-01,12:41,M1.2,N19W27,14479,0,2026-07-01T12:41:00-FLR-001,,,7.742445,-1,±1
2026-07-01,14:22,M1.1,N16W32,14479,0,2026-07-01T14:22:00-FLR-001,,,7.742445,-1,±1
2026-07-01,14:39,M2.6,N16W32,14479,1,2026-07-01T14:39:00-FLR-001,,,7.742445,-1,±1
2026-07-01,15:24,M1.1,S18W39,14480,0,2026-07-01T15:24:00-FLR-001,,,7.742445,-1,±1
2026-07-01,18:44,M3.5,N15W32,14479,1,2026-07-01T18:44:00-FLR-001,,,7.742445,-1,±1
2026-07-01,20:15,M1.0,S09W74,14475,0,2026-07-01T20:15:00-FLR-001,,,7.742445,-1,±1
2026-07-01,20:19,M1.8,N20W33,14479,0,2026-07-01T20:19:00-FLR-001,,,7.742445,-1,±1
2026-07-01,22:57,M8.5,S10W23,14478,0,2026-07-01T22:57:00-FLR-001,,,7.742445,-1,±1
