fecha,hora,clase,region_activa,cme,ftrt,ssn,builder_timestamp
2026-06-20,01:26,M1.3,14472,1,1.513223,88.0,2026-07-23T23:49:51.883360+00:00
2026-06-20,14:50,M1.0,14473,0,1.513223,88.0,2026-07-23T23:49:51.883422+00:00
2026-06-21,02:25,M2.6,14473,1,1.730706,65.0,2026-07-23T23:49:51.883443+00:00
2026-06-21,19:17,M6.8,14473,1,1.730706,65.0,2026-07-23T23:49:51.883457+00:00
2026-06-29,21:13,M1.4,14479,1,7.494735,125.0,2026-07-23T23:49:51.883472+00:00
2026-06-30,00:39,M1.3,14475,0,7.742445,126.0,2026-07-23T23:49:51.883485+00:00
2026-06-30,12:37,M5.8,14475,0,7.742445,126.0,2026-07-23T23:49:51.883500+00:00
2026-06-30,20:34,X1.1,14479,1,7.742445,126.0,2026-07-23T23:49:51.883514+00:00
2026-07-01,06:19,M1.1,14479,0,,,2026-07-23T23:49:51.883530+00:00
2026-07-01,06:37,M1.0,14479,0,,,2026-07-23T23:49:51.883544+00:00
2026-07-01,07:28,M1.5,14479,0,,,2026-07-23T23:49:51.883559+00:00
2026-07-01,08:07,M2.5,14479,0,,,2026-07-23T23:49:51.883572+00:00
2026-07-01,10:04,M1.3,14479,0,,,2026-07-23T23:49:51.883585+00:00
2026-07-01,10:54,M1.0,14479,1,,,2026-07-23T23:49:51.883599+00:00
2026-07-01,11:53,M1.1,14479,0,,,2026-07-23T23:49:51.883612+00:00
2026-07-01,12:41,M1.2,14479,0,,,2026-07-23T23:49:51.883624+00:00
2026-07-01,14:22,M1.1,14479,0,,,2026-07-23T23:49:51.883636+00:00
2026-07-01,14:39,M2.6,14479,1,,,2026-07-23T23:49:51.883648+00:00
2026-07-01,15:24,M1.1,14480,0,,,2026-07-23T23:49:51.883661+00:00
2026-07-01,18:44,M3.5,14479,1,,,2026-07-23T23:49:51.883673+00:00
2026-07-01,20:15,M1.0,14475,0,,,2026-07-23T23:49:51.883686+00:00
2026-07-01,20:19,M1.8,14479,0,,,2026-07-23T23:49:51.883699+00:00
2026-07-01,22:57,M8.5,14478,0,,,2026-07-23T23:49:51.883711+00:00
2026-07-01,23:49,M1.1,14478,0,,,2026-07-23T23:49:51.883723+00:00
2026-07-02,01:37,M4.2,14479,1,,,2026-07-23T23:49:51.883736+00:00
2026-07-02,10:21,M2.8,14479,0,,,2026-07-23T23:49:51.883748+00:00
2026-07-02,23:03,M1.2,14479,0,,,2026-07-23T23:49:51.883760+00:00
2026-07-03,13:03,M1.4,14480,0,,,2026-07-23T23:49:51.883772+00:00
2026-07-03,17:49,M6.7,14479,1,,,2026-07-23T23:49:51.883784+00:00
2026-07-03,18:57,M6.3,14478,1,,,2026-07-23T23:49:51.883796+00:00
2026-07-03,19:28,M1.1,14479,0,,,2026-07-23T23:49:51.883808+00:00
2026-07-03,19:59,M1.5,14479,0,,,2026-07-23T23:49:51.883820+00:00
2026-07-03,23:50,M2.0,14480,0,,,2026-07-23T23:49:51.883832+00:00
2026-07-04,00:13,M2.3,14479,0,,,2026-07-23T23:49:51.883845+00:00
2026-07-04,00:59,M2.1,14479,0,,,2026-07-23T23:49:51.883857+00:00
2026-07-04,01:52,M1.2,14479,0,,,2026-07-23T23:49:51.883883+00:00
2026-07-04,03:21,M3.7,14479,0,,,2026-07-23T23:49:51.883900+00:00
2026-07-04,03:40,M4.0,14479,0,,,2026-07-23T23:49:51.883912+00:00
2026-07-04,05:04,M1.3,14479,0,,,2026-07-23T23:49:51.883924+00:00
2026-07-04,07:48,M1.8,14479,0,,,2026-07-23T23:49:51.883937+00:00
2026-07-04,08:41,M1.0,14479,0,,,2026-07-23T23:49:51.883949+00:00
2026-07-04,11:04,M3.2,14479,0,,,2026-07-23T23:49:51.883962+00:00
2026-07-04,13:41,M3.2,14479,0,,,2026-07-23T23:49:51.883974+00:00
2026-07-04,16:02,M1.1,14479,0,,,2026-07-23T23:49:51.883986+00:00
2026-07-04,18:36,M1.9,14479,0,,,2026-07-23T23:49:51.883997+00:00
2026-07-04,19:23,M1.5,14478,1,,,2026-07-23T23:49:51.884008+00:00
2026-07-04,20:29,X1.3,14482,1,,,2026-07-23T23:49:51.884020+00:00
2026-07-04,21:12,M2.0,14479,0,,,2026-07-23T23:49:51.884032+00:00
2026-07-04,22:16,M1.1,14479,0,,,2026-07-23T23:49:51.884043+00:00
2026-07-04,23:45,M1.0,14479,0,,,2026-07-23T23:49:51.884055+00:00
2026-07-05,00:24,M1.3,14479,0,,,2026-07-23T23:49:51.884068+00:00
2026-07-05,04:19,M1.3,14480,0,,,2026-07-23T23:49:51.884080+00:00
2026-07-05,04:41,M1.0,14479,0,,,2026-07-23T23:49:51.884092+00:00
2026-07-05,05:21,M2.7,14479,0,,,2026-07-23T23:49:51.884104+00:00
2026-07-05,07:21,C9.9,14479,1,,,2026-07-23T23:49:51.884115+00:00
2026-07-05,10:56,M1.4,14479,0,,,2026-07-23T23:49:51.884126+00:00
2026-07-05,11:12,M1.6,14479,0,,,2026-07-23T23:49:51.884138+00:00
2026-07-05,16:21,M1.4,14479,1,,,2026-07-23T23:49:51.884150+00:00
2026-07-05,16:41,M1.4,14479,0,,,2026-07-23T23:49:51.884161+00:00
2026-07-05,17:51,M5.3,14479,0,,,2026-07-23T23:49:51.884172+00:00
2026-07-05,18:56,M1.4,14479,0,,,2026-07-23T23:49:51.884184+00:00
2026-07-05,21:14,M1.0,14479,0,,,2026-07-23T23:49:51.884195+00:00
2026-07-06,04:55,C6.1,14479,1,,,2026-07-23T23:49:51.884207+00:00
2026-07-07,14:09,M4.0,14482,1,,,2026-07-23T23:49:51.884219+00:00
2026-07-08,17:49,M1.5,14482,0,,,2026-07-23T23:49:51.884235+00:00
2026-07-09,02:17,M1.1,14482,0,,,2026-07-23T23:49:51.884247+00:00
2026-07-09,06:51,C2.7,14485,1,,,2026-07-23T23:49:51.884258+00:00
2026-07-10,14:33,C6.0,14485,1,,,2026-07-23T23:49:51.884269+00:00
2026-07-12,00:28,C5.9,14485,1,,,2026-07-23T23:49:51.884280+00:00
2026-07-12,07:17,M1.1,14485,1,,,2026-07-23T23:49:51.884292+00:00
2026-07-14,12:18,C3.9,,1,,,2026-07-23T23:49:51.884305+00:00
