month,days,mean_ssn,max_ssn
1818-01,8,58.125,105.0
1818-02,14,37.429,192.0
1818-03,14,42.357,85.0
1818-04,21,57.524,92.0
1818-05,25,88.48,202.0
1818-06,25,60.8,125.0
1818-07,21,46.762,87.0
1818-08,20,52.55,98.0
1818-09,18,43.389,103.0
1818-10,22,52.773,163.0
1818-11,12,18.333,42.0
1818-12,13,43.0,107.0
1819-01,12,54.667,88.0
1819-02,10,34.6,67.0
1819-03,23,6.261,30.0
1819-04,23,33.739,82.0
1819-05,31,32.613,83.0
1819-06,23,58.261,118.0
1819-07,15,52.467,162.0
1819-08,24,43.458,110.0
1819-09,27,24.815,98.0
1819-10,22,45.909,80.0
1819-11,19,41.789,137.0
1819-12,20,50.9,85.0
1820-01,19,32.0,88.0
1820-02,14,44.357,83.0
1820-03,23,7.478,77.0
1820-04,19,32.263,100.0
1820-05,20,48.9,100.0
1820-06,25,17.92,73.0
1820-07,7,34.143,98.0
1820-08,17,43.118,72.0
1820-09,25,8.64,30.0
1820-10,26,14.885,67.0
1820-11,13,13.231,35.0
1820-12,16,15.062,65.0
1821-01,8,36.0,52.0
1821-02,24,7.0,75.0
1821-03,29,9.517,33.0
1821-04,18,15.222,50.0
1821-05,31,2.806,27.0
1821-06,29,2.966,30.0
1821-07,24,4.25,42.0
1821-08,26,8.038,32.0
1821-09,29,7.276,53.0
1821-10,28,31.393,63.0
1821-11,27,7.333,47.0
1821-12,31,0.419,13.0
1822-01,31,0.0,0.0
1822-02,28,1.5,42.0
1822-03,28,26.857,77.0
1822-04,26,21.654,65.0
1822-05,30,2.433,40.0
1822-06,29,9.31,67.0
1822-07,29,13.241,63.0
1822-08,31,3.419,53.0
1822-09,30,0.0,0.0
1822-10,31,0.581,18.0
1822-11,30,0.0,0.0
1822-12,30,0.0,0.0
1823-01,31,0.0,0.0
1823-02,28,0.0,0.0
1823-03,29,0.966,28.0
1823-04,30,0.0,0.0
1823-05,25,0.0,0.0
1823-06,23,0.0,0.0
1823-07,24,0.75,18.0
1823-08,27,0.0,0.0
1823-09,27,0.0,0.0
1823-10,20,0.0,0.0
1823-11,20,0.0,0.0
1823-12,18,34.0,43.0
1824-01,3,36.0,38.0
1824-03,21,0.0,0.0
1824-04,8,32.25,47.0
1824-05,19,4.632,42.0
1824-06,25,0.0,0.0
1824-07,21,0.0,0.0
1824-08,15,2.333,35.0
1824-09,19,34.263,83.0
1824-10,25,42.0,102.0
1824-11,18,0.0,0.0
1824-12,20,1.4,20.0
1825-01,29,8.414,62.0
1825-02,24,25.875,132.0
1825-03,27,37.407,138.0
1825-04,25,6.24,53.0
1825-05,25,25.76,47.0
1825-06,28,25.643,77.0
1825-07,30,51.5,145.0
1825-08,30,42.767,127.0
1825-09,26,26.154,75.0
1825-10,25,26.0,82.0
1825-11,18,19.556,72.0
1825-12,23,36.739,130.0
1826-01,21,29.429,82.0
1826-02,25,30.24,87.0
1826-03,28,61.321,110.0
1826-04,27,39.963,108.0
1826-05,30,53.9,102.0
1826-06,29,61.655,160.0
1826-07,30,87.5,150.0
1826-08,31,66.032,152.0
1826-09,30,31.567,87.0
1826-10,28,84.429,148.0
1826-11,22,65.818,265.0
1826-12,19,113.632,268.0
1827-01,23,57.696,140.0
1827-02,25,79.0,187.0
1827-03,28,96.25,170.0
1827-04,27,76.667,123.0
1827-05,30,93.767,158.0
1827-06,26,94.423,195.0
1827-07,31,70.387,132.0
1827-08,29,89.448,145.0
1827-09,30,82.633,153.0
1827-10,27,93.481,162.0
1827-11,20,80.35,185.0
