best_lag,windows,mean_r,max_r,min_r,timestamp
-30,198,-0.20818390404040404,0.717275,-0.752246,2026-07-23T23:51:46.138044+00:00
-29,28,0.14265624999999998,0.56331,-0.64168,2026-07-23T23:51:46.138044+00:00
-28,26,-0.5060112692307692,0.583787,-0.810242,2026-07-23T23:51:46.138044+00:00
-27,24,-0.00863958333333333,0.674959,-0.688186,2026-07-23T23:51:46.138044+00:00
-26,25,-0.47667603999999997,0.342897,-0.690531,2026-07-23T23:51:46.138044+00:00
-25,18,0.26277988888888887,0.653473,-0.645341,2026-07-23T23:51:46.138044+00:00
-24,31,-0.1424427741935484,0.636773,-0.632051,2026-07-23T23:51:46.138044+00:00
-23,15,-0.10242419999999999,0.484756,-0.628345,2026-07-23T23:51:46.138044+00:00
-22,5,0.4718318,0.487902,0.446982,2026-07-23T23:51:46.138044+00:00
-21,31,-0.004056870967741934,0.618201,-0.635154,2026-07-23T23:51:46.138044+00:00
-20,4,-0.28648875,-0.233815,-0.413585,2026-07-23T23:51:46.138044+00:00
-19,9,0.036661000000000006,0.582326,-0.495007,2026-07-23T23:51:46.138044+00:00
-18,54,-0.21324948148148148,0.598094,-0.5548,2026-07-23T23:51:46.138044+00:00
-17,35,0.17948682857142859,0.728515,-0.51851,2026-07-23T23:51:46.138044+00:00
-16,14,0.37998985714285716,0.755749,-0.502731,2026-07-23T23:51:46.138044+00:00
-15,8,0.49416875,0.755026,-0.494842,2026-07-23T23:51:46.138044+00:00
-14,24,-0.30065329166666666,0.773352,-0.724053,2026-07-23T23:51:46.138044+00:00
-13,18,0.047399888888888894,0.778181,-0.727795,2026-07-23T23:51:46.138044+00:00
-12,18,0.01539372222222224,0.785948,-0.56599,2026-07-23T23:51:46.138044+00:00
-11,30,0.1427353,0.798486,-0.601977,2026-07-23T23:51:46.138044+00:00
-10,17,0.5735557058823529,0.779119,0.347891,2026-07-23T23:51:46.138044+00:00
-9,4,-0.36661275,-0.359547,-0.373886,2026-07-23T23:51:46.138044+00:00
-8,6,0.4575585,0.630314,0.366085,2026-07-23T23:51:46.138044+00:00
-7,10,0.4157904,0.613794,-0.31639,2026-07-23T23:51:46.138044+00:00
-6,10,0.3587367,0.666526,-0.305876,2026-07-23T23:51:46.138044+00:00
-5,14,0.5062961428571429,0.539294,0.422778,2026-07-23T23:51:46.138044+00:00
-4,12,-0.11641333333333333,0.569602,-0.450063,2026-07-23T23:51:46.138044+00:00
-3,19,0.5643884210526317,0.642382,0.361438,2026-07-23T23:51:46.138044+00:00
-2,7,0.5633944285714286,0.613647,0.502515,2026-07-23T23:51:46.138044+00:00
-1,8,0.52276375,0.612824,0.384605,2026-07-23T23:51:46.138044+00:00
0,27,0.4979764074074074,0.617715,0.38348,2026-07-23T23:51:46.138044+00:00
1,65,0.4660566,0.713661,-0.518949,2026-07-23T23:51:46.138044+00:00
2,81,0.31745696296296294,0.69256,-0.544305,2026-07-23T23:51:46.138044+00:00
3,25,0.125249,0.613435,-0.390829,2026-07-23T23:51:46.138044+00:00
4,51,0.500528705882353,0.583899,0.275448,2026-07-23T23:51:46.138044+00:00
5,9,0.39411844444444444,0.49019,0.276224,2026-07-23T23:51:46.138044+00:00
6,31,0.02339077419354839,0.561136,-0.566631,2026-07-23T23:51:46.138044+00:00
7,8,0.04981375000000001,0.414409,-0.559599,2026-07-23T23:51:46.138044+00:00
8,34,-0.40280855882352945,0.554955,-0.703791,2026-07-23T23:51:46.138044+00:00
9,74,-0.4063641891891892,0.55733,-0.791772,2026-07-23T23:51:46.138044+00:00
10,24,0.09348920833333334,0.548134,-0.485405,2026-07-23T23:51:46.138044+00:00
11,28,0.54511425,0.617212,0.399432,2026-07-23T23:51:46.138044+00:00
12,57,0.5341255614035088,0.666936,-0.509659,2026-07-23T23:51:46.138044+00:00
13,39,0.2877130769230769,0.651169,-0.586472,2026-07-23T23:51:46.138044+00:00
14,25,0.28552136,0.582716,-0.594905,2026-07-23T23:51:46.138044+00:00
15,20,0.20773265,0.70541,-0.619052,2026-07-23T23:51:46.138044+00:00
16,20,0.26811885,0.671996,-0.657184,2026-07-23T23:51:46.138044+00:00
17,35,0.4010389142857143,0.809674,-0.71771,2026-07-23T23:51:46.138044+00:00
18,84,-0.06760140476190477,0.850758,-0.662216,2026-07-23T23:51:46.138044+00:00
19,68,-0.2868125294117647,0.83183,-0.675507,2026-07-23T23:51:46.138044+00:00
20,43,-0.21506369767441857,0.831762,-0.696717,2026-07-23T23:51:46.138044+00:00
21,108,-0.036328,0.818983,-0.753904,2026-07-23T23:51:46.138044+00:00
22,81,-0.1318942962962963,0.805956,-0.81415,2026-07-23T23:51:46.138044+00:00
23,72,-0.3333329861111111,0.813255,-0.759859,2026-07-23T23:51:46.138044+00:00
24,51,-0.23379466666666668,0.749846,-0.723806,2026-07-23T23:51:46.138044+00:00
25,112,-0.06501023214285714,0.740692,-0.733339,2026-07-23T23:51:46.138044+00:00
26,52,-0.479576,0.469033,-0.729133,2026-07-23T23:51:46.138044+00:00
27,19,-0.33324473684210526,0.301271,-0.713602,2026-07-23T23:51:46.138044+00:00
28,40,-0.452354375,0.293063,-0.856373,2026-07-23T23:51:46.138044+00:00
29,74,-0.6245883648648648,-0.248828,-0.884941,2026-07-23T23:51:46.138044+00:00
30,105,-0.2663325142857143,0.758457,-0.844474,2026-07-23T23:51:46.138044+00:00
