best_lag,windows,mean_r,first_date,last_date
150,182,-0.018723714285714288,2026-07-15T23:40:57.128541+00:00,2026-07-15T23:44:14.068866+00:00
-150,92,-0.3026235652173913,2026-07-15T23:41:29.159562+00:00,2026-07-15T23:44:03.445090+00:00
144,73,0.4239688356164384,2026-07-15T23:41:01.104532+00:00,2026-07-15T23:44:11.524640+00:00
-144,71,0.07119384507042253,2026-07-15T23:41:07.519408+00:00,2026-07-15T23:43:48.549631+00:00
147,66,0.1319755909090909,2026-07-15T23:41:00.472101+00:00,2026-07-15T23:44:07.254115+00:00
148,58,-0.05606675862068965,2026-07-15T23:41:00.110971+00:00,2026-07-15T23:44:03.354442+00:00
-147,55,0.19300336363636364,2026-07-15T23:41:48.907381+00:00,2026-07-15T23:43:52.275555+00:00
149,54,0.38965203703703705,2026-07-15T23:41:18.109991+00:00,2026-07-15T23:44:09.889536+00:00
145,52,0.6133788846153846,2026-07-15T23:41:01.014152+00:00,2026-07-15T23:44:11.434028+00:00
143,52,0.21609588461538462,2026-07-15T23:41:40.558332+00:00,2026-07-15T23:44:12.341983+00:00
140,51,-0.3184812745098039,2026-07-15T23:41:36.667253+00:00,2026-07-15T23:43:58.996569+00:00
135,47,0.21907572340425532,2026-07-15T23:41:14.762648+00:00,2026-07-15T23:44:06.254640+00:00
-143,47,-0.13857810638297874,2026-07-15T23:41:07.159036+00:00,2026-07-15T23:43:50.095165+00:00
-146,42,0.20103238095238096,2026-07-15T23:41:13.131170+00:00,2026-07-15T23:43:52.093494+00:00
134,38,-0.4911754473684211,2026-07-15T23:41:36.486217+00:00,2026-07-15T23:44:06.618308+00:00
-145,38,0.3096953157894737,2026-07-15T23:41:08.513486+00:00,2026-07-15T23:43:51.911890+00:00
124,36,0.3841099722222222,2026-07-15T23:42:41.508345+00:00,2026-07-15T23:44:00.359328+00:00
-149,35,-0.42981665714285716,2026-07-15T23:41:49.088546+00:00,2026-07-15T23:43:52.457311+00:00
138,34,-0.7401666470588236,2026-07-15T23:41:14.129910+00:00,2026-07-15T23:43:40.112271+00:00
-148,34,0.027031382352941186,2026-07-15T23:41:37.388549+00:00,2026-07-15T23:43:40.929125+00:00
146,33,0.5091975454545455,2026-07-15T23:41:00.923463+00:00,2026-07-15T23:44:10.797188+00:00
-140,31,-0.037511290322580645,2026-07-15T23:41:06.524789+00:00,2026-07-15T23:44:13.522514+00:00
75,31,-0.4102435806451613,2026-07-15T23:41:11.048766+00:00,2026-07-15T23:43:22.057725+00:00
-142,30,-0.44816256666666665,2026-07-15T23:41:33.231280+00:00,2026-07-15T23:43:35.575390+00:00
130,28,-0.6218237142857143,2026-07-15T23:41:18.562972+00:00,2026-07-15T23:44:05.982239+00:00
141,28,-0.5591841071428572,2026-07-15T23:41:36.937100+00:00,2026-07-15T23:43:58.814969+00:00
-139,27,0.2743804814814815,2026-07-15T23:40:59.564308+00:00,2026-07-15T23:44:12.797233+00:00
106,25,0.7058654400000001,2026-07-15T23:41:03.901430+00:00,2026-07-15T23:41:06.164615+00:00
142,25,-0.2673518,2026-07-15T23:41:40.649678+00:00,2026-07-15T23:43:58.724507+00:00
133,24,-0.4983637916666667,2026-07-15T23:41:14.853125+00:00,2026-07-15T23:44:08.254886+00:00
-121,24,-0.2559015416666667,2026-07-15T23:41:45.373064+00:00,2026-07-15T23:43:34.577990+00:00
-108,23,0.7845335652173913,2026-07-15T23:41:56.179560+00:00,2026-07-15T23:41:58.806254+00:00
104,23,-0.7313191304347827,2026-07-15T23:42:15.773909+00:00,2026-07-15T23:42:17.767480+00:00
136,22,0.026798227272727262,2026-07-15T23:41:14.672589+00:00,2026-07-15T23:44:00.632657+00:00
-141,22,0.08486377272727273,2026-07-15T23:41:06.978368+00:00,2026-07-15T23:44:13.613110+00:00
-138,20,0.3746383,2026-07-15T23:40:59.293474+00:00,2026-07-15T23:43:34.306063+00:00
-130,19,-0.5608716315789474,2026-07-15T23:41:21.276341+00:00,2026-07-15T23:44:15.703141+00:00
131,17,-0.6925087647058823,2026-07-15T23:41:15.125082+00:00,2026-07-15T23:44:08.891424+00:00
-119,16,0.51926525,2026-07-15T23:41:15.486299+00:00,2026-07-15T23:43:53.821032+00:00
115,16,-0.697806375,2026-07-15T23:40:58.484768+00:00,2026-07-15T23:42:26.016351+00:00
-132,16,0.783037875,2026-07-15T23:41:21.551168+00:00,2026-07-15T23:43:29.948711+00:00
139,15,-0.4703486,2026-07-15T23:41:13.947833+00:00,2026-07-15T23:43:40.657192+00:00
114,14,-0.7024693571428572,2026-07-15T23:40:58.031088+00:00,2026-07-15T23:42:25.925489+00:00
127,14,0.5666844285714286,2026-07-15T23:42:22.297055+00:00,2026-07-15T23:43:55.274328+00:00
-120,14,-0.5656874285714285,2026-07-15T23:41:29.069567+00:00,2026-07-15T23:43:14.521415+00:00
56,13,0.5797155384615384,2026-07-15T23:42:54.204258+00:00,2026-07-15T23:43:47.461334+00:00
