lag,start_window,end_window,duration
75,1577,1600,24
104,869,891,23
-150,1110,1130,21
148,2036,2055,20
138,1780,1799,20
144,45,64,20
150,1208,1226,19
106,84,101,18
-108,653,670,18
-143,1893,1909,17
149,1969,1984,16
150,1246,1261,16
130,1561,1576,16
135,458,473,16
-130,2174,2189,16
-150,1753,1767,15
-147,1085,1099,15
144,302,315,14
-144,696,709,14
143,1850,1862,13
150,746,758,13
-147,843,854,12
-144,317,328,12
-142,1623,1633,11
127,1956,1966,11
133,2099,2109,11
-148,1429,1439,11
150,0,10,11
-140,759,768,10
150,366,375,10
150,605,614,10
150,2117,2126,10
146,2128,2137,10
-145,140,149,10
103,892,901,10
150,2008,2016,9
143,732,740,9
143,2146,2154,9
147,1374,1382,9
124,1176,1184,9
-139,391,399,9
140,818,826,9
74,169,177,9
61,596,604,9
134,1640,1648,9
-145,127,134,8
-133,272,279,8
150,425,432,8
-140,2160,2167,8
-120,535,542,8
-142,1742,1749,8
128,2057,2064,8
-132,1680,1687,8
98,794,801,8
140,549,555,7
148,1409,1415,7
-110,714,720,7
-144,284,290,7
124,1191,1197,7
144,1527,1533,7
-145,1921,1927,7
-147,1538,1544,7
-150,1070,1076,7
-115,802,808,7
140,626,632,7
-143,1002,1008,7
145,619,625,7
140,1812,1818,7
-147,856,862,7
-139,769,775,7
136,1772,1778,7
-101,240,246,7
-146,1444,1450,7
147,2092,2098,7
-119,204,210,7
106,76,82,7
-64,217,223,7
-146,178,184,7
145,2138,2144,7
-150,580,585,6
-132,1341,1346,6
-144,588,593,6
-123,1308,1313,6
75,163,168,6
-124,1634,1639,6
139,1800,1805,6
-116,345,350,6
145,1275,1280,6
-121,1725,1730,6
18,1601,1606,6
147,1009,1014,6
144,486,491,6
-121,1040,1045,6
-141,1287,1292,6
-150,452,457,6
-148,446,451,6
-92,1034,1039,6
-89,1185,1190,6
-121,1021,1026,6
-150,1936,1941,6
-71,1494,1499,6
149,1469,1473,5
-150,864,868,5
-141,560,564,5
56,1876,1880,5
150,509,513,5
135,1264,1268,5
-149,575,579,5
147,416,420,5
123,1166,1170,5
76,158,162,5
58,1881,1885,5
124,1161,1165,5
138,1478,1482,5
-149,932,936,5
-150,521,525,5
-126,1330,1334,5
150,1662,1666,5
-146,995,999,5
-148,1100,1104,5
130,2065,2069,5
115,118,122,5
115,16,20,5
-138,254,258,5
124,2018,2022,5
-144,1047,1051,5
-140,1419,1423,5
121,135,139,5
114,11,15,5
141,813,817,5
-149,1077,1081,5
-149,1105,1109,5
150,1393,1397,5
113,944,948,5
-122,1386,1390,5
150,2169,2173,5
131,2112,2116,5
-146,1702,1706,5
150,689,693,5
-69,1500,1504,5
-108,678,682,5
9,1830,1834,5
134,2077,2081,5
149,1951,1955,5
134,1269,1272,4
28,72,75,4
-142,1607,1610,4
150,1148,1151,4
150,530,533,4
-107,649,652,4
-91,1030,1033,4
150,785,788,4
-120,1017,1020,4
-90,1053,1056,4
133,710,713,4
-143,112,115,4
141,827,830,4
-106,645,648,4
134,2088,2091,4
-148,1710,1713,4
-150,1715,1718,4
-149,1721,1724,4
142,915,918,4
150,565,568,4
-146,839,842,4
148,34,37,4
56,1293,1296,4
143,1674,1677,4
57,1299,1302,4
56,1303,1306,4
145,1325,1328,4
126,1335,1338,4
-134,1910,1913,4
148,1985,1988,4
140,1483,1486,4
136,1362,1365,4
150,407,410,4
147,1989,1992,4
150,1870,1873,4
-139,380,383,4
149,376,379,4
-117,213,216,4
135,360,363,4
-138,401,404,4
57,1886,1889,4
147,1405,1408,4
-137,21,24,4
138,1490,1493,4
95,1424,1427,4
147,2032,2035,4
113,973,976,4
141,919,922,4
134,2027,2030,4
144,1846,1849,4
135,1366,1368,3
-67,225,227,3
131,1558,1560,3
-126,329,331,3
150,1140,1142,3
143,960,962,3
-119,1942,1944,3
150,1945,1947,3
-138,1451,1453,3
-119,1948,1950,3
29,102,104,3
-109,671,673,3
146,67,69,3
148,1383,1385,3
139,685,687,3
147,1063,1065,3
144,1440,1442,3
-150,781,783,3
136,2023,2025,3
94,1456,1458,3
-144,262,264,3
-129,265,267,3
145,1059,1061,3
-150,1547,1549,3
142,2002,2004,3
149,1460,1462,3
-147,1707,1709,3
-149,1463,1465,3
150,949,951,3
129,724,726,3
-148,1082,1084,3
149,1398,1400,3
145,1996,1998,3
99,1699,1701,3
-138,25,27,3
-68,228,230,3
105,835,837,3
114,29,31,3
-140,107,109,3
147,1236,1238,3
-142,1205,1207,3
142,1617,1619,3
-81,929,931,3
141,912,914,3
150,926,928,3
131,200,202,3
-150,1866,1868,3
144,1863,1865,3
101,903,905,3
147,422,424,3
-88,1243,1245,3
130,2082,2084,3
-147,1824,1826,3
141,500,502,3
-123,1520,1522,3
137,192,194,3
24,987,989,3
140,438,440,3
147,38,40,3
124,1153,1155,3
132,1353,1355,3
-137,1732,1734,3
-143,1156,1158,3
150,1837,1839,3
149,1475,1477,3
-144,1819,1821,3
136,357,359,3
124,1171,1173,3
-141,1739,1741,3
-143,1750,1752,3
-93,569,571,3
138,189,191,3
-90,1028,1029,2
144,1614,1615,2
113,978,979,2
146,1612,1613,2
114,980,981,2
147,70,71,2
25,985,986,2
114,971,972,2
-133,965,966,2
23,990,991,2
-135,969,970,2
-144,992,993,2
-134,967,968,2
-37,2155,2156,2
134,1552,1553,2
147,1348,1349,2
-105,1281,1282,2
-106,1283,1284,2
58,1297,1298,2
150,1314,1315,2
140,1488,1489,2
147,1318,1319,2
146,1320,1321,2
145,1322,1323,2
125,1339,1340,2
145,1351,1352,2
135,1550,1551,2
123,1358,1359,2
-129,1360,1361,2
13,1369,1370,2
-150,1466,1467,2
148,1372,1373,2
-133,1391,1392,2
148,1401,1402,2
89,1416,1417,2
93,1454,1455,2
135,1273,1274,2
-71,1505,1506,2
-69,1507,1508,2
55,1241,1242,2
147,1057,1058,2
-128,1066,1067,2
145,65,66,2
-143,1132,1133,2
-144,1134,1135,2
-145,1136,1137,2
-144,1138,1139,2
145,1534,1535,2
148,1146,1147,2
-144,1159,1160,2
123,1174,1175,2
115,32,33,2
-124,1523,1524,2
-119,1515,1516,2
-118,1513,1514,2
135,1229,1230,2
-141,1233,1234,2
-143,1509,1510,2
146,1239,1240,2
143,957,958,2
-109,676,677,2
144,479,480,2
-149,1934,1935,2
-110,674,675,2
140,683,684,2
134,2085,2086,2
146,518,519,2
8,1835,1836,2
-146,1930,1931,2
-147,1932,1933,2
-150,1694,1695,2
145,298,299,2
129,728,729,2
-146,1810,1811,2
-144,332,333,2
133,197,198,2
-146,1691,1692,2
142,741,742,2
149,514,515,2
132,2110,2111,2
-144,641,642,2
137,443,444,2
144,1843,1844,2
148,414,415,2
-139,388,389,2
-121,543,544,2
146,1769,1770,2
139,556,557,2
-144,1891,1892,2
139,187,188,2
134,586,587,2
-145,594,595,2
