EXP,Estado,Tiempo_seg
EXP001,OK,0.51
EXP002,OK,9.56
EXP003,OK,9.03
EXP004,OK,19.3
EXP005,OK,0.19
EXP006,OK,0.12
EXP007,OK,0.09
EXP008,OK,4.63
EXP009,OK,5.65
EXP010,OK,2.19
EXP011,OK,4.4
EXP012,OK,5.03
EXP013,OK,3.32
EXP014,OK,3.61
EXP015,OK,0.12
EXP016,OK,0.11
EXP017,OK,0.38
EXP018,OK,0.36
EXP019,OK,0.35
EXP020,OK,0.69
EXP021,OK,0.46
EXP022,OK,1.4
EXP023,OK,0.44
EXP024,OK,0.42
EXP025,OK,0.94
EXP026,OK,0.4
EXP027,OK,0.77
EXP028,OK,0.35
EXP029,OK,0.37
EXP030,OK,0.65
EXP031,OK,0.39
EXP032,OK,0.91
EXP033,OK,3.56
EXP034,OK,3.5
EXP035,OK,3.41
EXP036,OK,0.37
EXP037,OK,0.49
EXP038,OK,1.19
EXP039,OK,0.78
EXP040,OK,446.91
EXP041,OK,7.14
EXP042,OK,4.3
EXP043,OK,4.54
EXP044,OK,7.46
EXP045,OK,0.44
EXP046,OK,0.41
EXP047,OK,1.82
EXP048,OK,0.41
EXP049,OK,4.75
EXP050,OK,0.12
EXP051,OK,0.41
EXP052,OK,0.39
EXP053,OK,1.0
EXP054,OK,0.22
EXP055,OK,0.1
EXP056,OK,0.15
EXP057,OK,0.1
EXP058,OK,0.15
EXP059,OK,0.25
EXP060,OK,3.8
EXP061,OK,0.25
EXP062,OK,0.15
EXP063,OK,0.14
EXP064,OK,0.17
EXP065,OK,0.18
EXP066,OK,0.18
EXP067,OK,0.2
EXP068,OK,0.16
EXP069,OK,0.14
EXP070,OK,1.25
EXP071,OK,0.28
EXP072,OK,1.14
EXP073,OK,8.63
EXP074,OK,0.2
EXP075,OK,0.19
EXP076,OK,0.17
EXP077,OK,0.17
EXP078,OK,0.15
EXP079,OK,0.14
EXP080,OK,0.15
EXP081,OK,0.15
EXP082,OK,0.15
EXP083,OK,0.28
EXP084,OK,0.26
EXP085,OK,0.15
EXP086,OK,0.14
EXP087,OK,0.15
EXP088,OK,0.63
EXP089,OK,0.44
EXP090,OK,0.47
EXP091,OK,1.52
EXP092,OK,1.51
EXP093,OK,1.55
EXP094,OK,92.24
EXP095,OK,1.44
EXP096,OK,1.77
EXP097,OK,363.86
EXP098,OK,2.26
EXP099,OK,1.87
EXP100,OK,1.87
EXP101,OK,0.17
