fecha,ftrt_index,ssn
2020-01-01,0.514693,6.0
2020-01-02,0.573205,12.0
2020-01-03,0.621155,13.0
2020-01-04,-0.28886,12.0
2020-01-05,-0.263306,14.0
2020-01-06,-0.249581,7.0
2020-01-07,-0.248082,4.0
2020-01-08,-0.259182,4.0
2020-01-09,-0.283218,15.0
2020-01-10,-0.320486,4.0
2020-01-11,-0.371237,0.0
2020-01-12,-0.435675,0.0
2020-01-13,0.433028,0.0
2020-01-14,0.340807,0.0
2020-01-15,0.234598,0.0
2020-01-16,0.11442,0.0
2020-01-17,-0.019616,0.0
2020-01-18,-0.167278,0.0
2020-01-19,-0.328133,0.0
2020-01-20,-0.501447,0.0
2020-01-21,-0.685991,0.0
2020-01-22,-0.87976,0.0
2020-01-23,-1.079515,0.0
2020-01-24,-1.280092,8.0
2020-01-25,-1.473415,12.0
2020-01-26,-1.647286,19.0
2020-01-27,-1.784535,14.0
2020-01-28,-1.864122,12.0
2020-01-29,-1.866328,12.0
2020-01-30,-1.781108,12.0
2020-01-31,-1.612867,12.0
2020-02-01,-1.376762,6.0
2020-02-02,-1.091109,0.0
2020-02-03,-0.772237,0.0
2020-02-04,-0.432911,0.0
2020-02-05,-2.284801,0.0
2020-02-06,-1.930632,0.0
2020-02-07,0.624011,0.0
2020-02-08,0.969794,0.0
2020-02-09,1.303647,0.0
2020-02-10,-0.582894,0.0
2020-02-11,-0.293314,0.0
2020-02-12,-0.039178,0.0
2020-02-13,0.169308,0.0
2020-02-14,0.322594,0.0
2020-02-15,2.615827,0.0
2020-02-16,2.641781,0.0
2020-02-17,2.604668,0.0
2020-02-18,2.511014,0.0
2020-02-19,2.370465,0.0
2020-02-20,2.194015,0.0
2020-02-21,1.992439,0.0
2020-02-22,1.775251,0.0
2020-02-23,1.550259,0.0
2020-02-24,-0.878608,0.0
2020-02-25,-1.102338,0.0
2020-02-26,-1.319552,0.0
2020-02-27,-1.527478,0.0
2020-02-28,-1.723868,0.0
2020-02-29,-1.906825,0.0
2020-03-01,-2.074697,0.0
2020-03-02,-0.023858,0.0
2020-03-03,-0.157413,0.0
2020-03-04,-0.272177,0.0
2020-03-05,-0.367426,0.0
2020-03-06,-0.44278,0.0
2020-03-07,-0.498248,2.0
2020-03-08,-0.534246,16.0
2020-03-09,-0.551588,11.0
2020-03-10,-0.551443,0.0
2020-03-11,-0.535263,0.0
2020-03-12,-0.504698,0.0
2020-03-13,-0.461504,0.0
2020-03-14,-0.40747,0.0
2020-03-15,-0.344346,0.0
2020-03-16,-0.273801,0.0
2020-03-17,-0.1974,0.0
2020-03-18,-0.116586,3.0
2020-03-19,-0.032685,0.0
2020-03-20,0.053088,0.0
2020-03-21,0.139617,0.0
2020-03-22,-1.97631,0.0
2020-03-23,-1.891306,0.0
2020-03-24,-1.808465,0.0
2020-03-25,-1.728663,0.0
2020-03-26,-1.65275,0.0
2020-03-27,-1.581561,0.0
2020-03-28,-1.515918,0.0
2020-03-29,-1.456638,0.0
2020-03-30,-1.404533,3.0
2020-03-31,-1.360411,11.0
2020-04-01,-0.069875,13.0
2020-04-02,-0.044106,13.0
2020-04-03,-0.028675,13.0
2020-04-04,-0.024327,13.0
2020-04-05,-0.031774,0.0
2020-04-06,-0.051691,0.0
2020-04-07,-0.084714,0.0
2020-04-08,-0.131436,0.0
2020-04-09,-0.192415,0.0
2020-04-10,0.678802,0.0
2020-04-11,0.587745,0.0
2020-04-12,0.480885,0.0
2020-04-13,0.35769,0.0
2020-04-14,0.217586,0.0
2020-04-15,0.059927,0.0
2020-04-16,-0.116029,0.0
2020-04-17,-0.311137,0.0
2020-04-18,-1.473363,0.0
2020-04-19,-3.912034,0.0
2020-04-20,-4.170993,0.0
2020-04-21,-4.453669,0.0
2020-04-22,-4.761226,0.0
2020-04-23,-2.892278,0.0
2020-04-24,-3.250894,0.0
2020-04-25,-3.631315,6.0
2020-04-26,-4.016084,13.0
2020-04-27,-4.292562,26.0
2020-04-28,-4.118035,15.0
2020-04-29,-3.698738,24.0
2020-04-30,-3.237253,20.0
2020-05-01,-2.769404,4.0
2020-05-02,-2.306303,0.0
